feature,importance
numeric__tenure_months,0.1782494454532943
numeric__monthly_charges,0.13348039278662915
numeric__total_charges,0.129692618912429
numeric__avg_session_minutes,0.09088058664727501
categorical__contract_type_Month-to-month,0.0817160333052287
numeric__support_tickets,0.06610440789359885
categorical__contract_type_Two year,0.05219666708255072
numeric__products_used,0.04831189759448831
numeric__complaints_last_6_months,0.04582824265084085
numeric__late_payments,0.03520335776035765
categorical__contract_type_One year,0.020006289366003956
categorical__internet_service_Fiber optic,0.016835090967812192
categorical__payment_method_Electronic check,0.013624654103747405
categorical__auto_pay_No,0.011736748217059896
categorical__auto_pay_Yes,0.011637675572818192
categorical__payment_method_Bank transfer,0.010909676916490566
categorical__internet_service_DSL,0.01078067326776578
categorical__payment_method_Credit card,0.01023185038037021
categorical__internet_service_No internet,0.010100559723754727
categorical__senior_citizen_No,0.008179891295603016
categorical__senior_citizen_Yes,0.008132514959352879
categorical__payment_method_Mailed check,0.006160725142528617
